LocID,Latitude,Longitude,MaxRunwayLen
98AK,59.77584167,-151.1816306,2000
GAL,64.73618889,-156.9345556,6000
EEK,60.21369444,-162.0438889,3242
EII,58.18549167,-157.3754278,5600
KKU,58.81119167,-158.5588417,1200
KEK,59.35683889,-157.4711389,3300
ELI,64.61497222,-162.2705278,3401
9AA1,61.68203056,-149.2907361,1250
ENM,62.78613889,-164.49075,4601
Z47,64.67909167,-165.2992028,2000
2Z2,65.17591111,-150.2205389,1500
2Z3,64.04211111,-148.8631389,950
FAI,64.81535556,-147.8566583,11800
58AK,61.55258889,-149.3396611,3578
65AK,61.56040556,-149.3677694,2700
AK58,61.54001389,-149.5487611,2800
0AK9,61.33255,-150.0590528,2000
KFP,54.84786111,-163.4071111,2150
0AA4,62.50918333,-153.8906278,4600
3Z1,64.83172778,-166.1315222,1190
6AK5,61.16833611,-150.1605528,2000
0AK8,61.42687778,-142.9788333,2000
08AK,61.56963889,-149.7244389,1200
FLT,62.45265,-157.9890694,4045
57AK,61.58433333,-149.8037722,1104
AK12,61.1066,-149.8642694,1078
04AA,60.53583333,-150.8113889,1300
36AK,61.34333889,-150.0666306,2100
8AK5,62.51388889,-150.2652778,1800
AK60,57.8851,-157.0968194,4700
FYU,66.57241667,-145.2463333,5000
14AK,61.60246667,-149.248,1300
7AK3,60.47637222,-151.1661139,2712
GBH,68.47966667,-149.4899167,5182
GAM,63.76661667,-171.7327833,4500
AK83,61.62725,-149.6093306,2100
28AK,61.80887778,-147.8593472,2175
16AK,61.59916667,-149.3469444,1200
AQY,60.96902222,-149.1193444,2095
KGZ,61.45513333,-142.38095,1400
AK17,59.76356389,-151.2232417,1555
15AK,63.37065,-148.8503361,2095
AK7,64.19805556,-147.9286111,2558
GLV,64.55045833,-163.0071722,4000
GNU,59.11786111,-161.5736667,3300
Z40,61.39465,-149.8422694,3000
AK99,61.44666667,-149.7611111,1200
5AK9,61.54851944,-149.1903111,1000
KGX,62.89208611,-160.0663972,4000
AK45,61.559375,-149.6242889,2200
AK65,61.59795,-149.3505111,1500
AK41,64.54388889,-146.8441667,1800
AK93,61.65518056,-149.2734889,1600
GKN,62.15433333,-145.4552917,5001
AA33,61.60415,-149.7701194,1700
GST,58.42527778,-135.7074167,6720
HNS,59.24383056,-135.5235389,4000
A67,59.41439444,-139.0337194,2100
HRR,63.86758333,-148.9688333,2910
75AK,60.59306667,-151.3279556,2640
AK33,55.80139444,-160.8992556,1090
7AK8,61.62125,-149.6149194,1300
47AK,61.2925,-149.5325,1400
97AK,61.664,-149.2536,1800
AK11,60.77316667,-151.2305278,1000
AK24,61.41786111,-149.4394889,1400
56AK,62.54538889,-154.0021111,1400
2AK6,66.17613333,-155.6848167,5500
HCA,62.18830556,-159.7749444,4000
HOM,59.64499444,-151.4858083,6701
25AK,61.71223889,-150.0633306,2000
HNH,58.0962,-135.4087556,3367
HPB,61.52386944,-166.1466222,3300
5HO,60.90725278,-149.6228111,2040
4Z5,62.00723333,-141.1821139,900
